state,fips,state_abb,year,secondary,adj_primary,adj_secondary_primary,primary,violentcrimerate_ce,propcrimerate_ce,pctblack,pcthisp,medinc,age,dieseltax,gastax,state_abbrev,fatal,fatal_occupant,fatal_non_occupant,vmt_rural,vmt_urban,vmt_total,rate_occupant,rate_non_occupant,speed65,speed70,mlda21,bac8,rearsecondary,mv_registrations,rural_miles,urban_miles,rate,secondary_primary,unemprate,automobiles,buses,trucks,total,motorcycle,urban_den,rural_den,ln_pctblack,ln_pcthisp,ln_medinc,ln_age,ln_gastax,ln_violentcrimerate,ln_propcrimerate,ln_unemprate,ln_ruralvmt,ln_urbanvmt,ln_ruralden,ln_urbanden,adj_occrate,adj_nonoccrate,ln_adjocrat,ln_adjnonocrat
georgia,13,GA,1983,0,0,0,0,1.8789999,40.485001,26.573948,1.2382104,11064,32.365032,7.5,7.5,GA,1296,1078,218,24369,24468,48837,22.073427,4.4638286,0,0,0,0,0,4207708,86540,18415,,0,7.641666666666666,3127837,14177,1065694,4207708,105717,169.85268,36.143253,3.2799313,.21366714,9.3114519,3.4770787,2.0149031,.63073969,3.7009315,2.0336158,10.101068,10.105122,3.5874903,5.1349316,.022073427,.0044638286,-3.8133807,-5.4117484
hawaii,15,HI,1983,0,0,0,0,1.65,55.575001,2.0647793,6.0951614,14262,32.15332,8.5,8.5,HI,141,113,28,1700,4173,5873,19.240593,4.7675805,0,0,0,0,0,616415,2945,1352,,0,5.899999999999999,528392,3609,78361,610362,8057,390.82248,179.42003,.72502333,1.8074952,9.5653543,3.4705157,2.1400661,.50077528,4.0177336,1.7749523,7.4383836,8.3363905,5.1897297,5.9682536,.019240594,.0047675804,-3.9507329,-5.3459163
idaho,16,ID,1983,0,0,0,0,.491,36.271,.30001119,4.154026,10795,31.58913,14.5,14.5,ID,263,234,29,5577,2710,8287,28.236998,3.4994569,0,0,0,0,0,877320,66194,2253,,0,9.075000000000001,529018,2954,345348,877320,52314,234.80603,7.9919329,-1.2039355,1.424078,9.2868385,3.4528131,2.6741486,-.71131116,3.5910184,2.2055235,8.6264067,7.9047041,2.0784326,5.4587598,.028236998,.0034994569,-3.5671222,-5.6551476
illinois,17,IL,1983,0,0,0,0,3.6010001,48.132999,14.307155,6.1068425,13412,33.776669,13.5,11,IL,1526,1239,287,21500,45870,67370,18.390976,4.2600565,0,0,1,0,0,7513118,103798,30801,,0,11.70833333333333,5929783,22005,1561330,7513118,232818,192.51917,57.128105,2.6607597,1.8094099,9.5039053,3.5197704,2.3978953,1.2812116,3.8739679,2.4603009,9.9758081,10.733566,4.0452962,5.2601957,.018390976,.0042600567,-3.9958951,-5.4584727
indiana,18,IN,1983,0,0,0,0,1.3260001,38.459999,7.4053488,1.5852684,11243,33.499256,11.1,11.1,IN,1016,900,116,20224,19613,39837,22.592062,2.9118659,0,0,1,0,0,3851752,74041,17695,,0,11.1,2852382,18044,981326,3851752,140482,161.19707,38.524357,2.0022025,.46075371,9.3275013,3.5115232,2.406945,.28216696,3.6496186,2.406945,9.9146252,9.8839483,3.6512907,5.0826278,.022592062,.0029118659,-3.7901566,-5.8389611
iowa,19,IA,1983,0,0,0,0,.55900002,37.379002,1.4541036,.93447024,11548,34.806274,15.5,13,IA,514,476,38,12631,7030,19661,24.210365,1.9327602,0,0,0,0,0,2479118,103878,8411,,0,8.233333333333333,1764651,7070,707397,2479118,238707,209.80276,16.987726,.37438962,-.067775503,9.3542671,3.5497978,2.5649493,-.58160579,3.621109,2.108191,9.4439096,8.8579416,2.8324912,5.346168,.024210365,.0019327602,-3.7209744,-6.248806
kansas,20,KS,1983,0,0,0,0,1.155,42.032001,5.3269382,2.8992794,12643,34.370045,12,10,KS,411,378,33,10207,7946,18153,20.823004,1.8178813,0,0,0,0,0,2047531,123945,8320,,0,5.891666666666667,1408358,3957,635216,2047531,100321,169.2738,11.362765,1.6727766,1.0644622,9.4448586,3.5371854,2.3025851,.14410032,3.7384312,1.7735389,9.2308292,8.9804239,2.4303417,5.1315174,.020823004,.0018178814,-3.8716969,-6.3100834
kentucky,21,KY,1983,0,0,0,0,1.189,31.125999,6.893518,.670784,9949,33.439682,10,10,KY,778,682,96,15636,11083,26719,25.524908,3.5929489,0,0,1,0,0,2620824,61969,7454,,0,11.26666666666667,1812875,8892,799057,2620824,58636,243.20834,29.254547,1.9305816,-.39930812,9.2052269,3.5097432,2.3025851,.17311263,3.4380434,2.4218485,9.6573315,9.3131676,3.376035,5.4939184,.025524909,.0035929489,-3.6681006,-5.6287818
louisiana,22,LA,1983,0,0,0,0,2.441,43.856998,29.201073,2.2468195,11017,31.567148,8,8,LA,933,754,179,16576,13845,30421,24.785509,5.8840933,0,0,0,0,0,2876621,45796,12214,,0,11.55,2023957,19464,833200,2876621,65349,165.70796,44.195061,3.3742054,.80951566,9.3071947,3.452117,2.0794415,.89240777,3.7809343,2.4466856,9.7157116,9.5356798,3.7886131,5.1102271,.024785509,.0058840932,-3.6974962,-5.1355028
maine,23,ME,1983,0,0,0,0,.46000001,35.216,.31896117,.46328413,10896,34.542023,14,14,ME,224,197,27,5469,2244,7713,25.541294,3.5005834,0,0,0,0,0,765781,19713,2240,,0,8.283333333333333,556372,2464,206945,765781,48176,248.38036,28.223608,-1.1426859,-.76941472,9.2961512,3.5421767,2.6390574,-.77652878,3.5615005,2.1142454,8.6068506,7.7160153,3.3401587,5.5149612,.025541294,.0035005833,-3.6674588,-5.6548257
maryland,24,MD,1983,0,0,0,0,3.8870001,45.499001,23.003683,1.8132817,14557,33.685863,13.5,13.5,MD,656,511,145,12160,18949,31109,16.426115,4.6610308,0,0,1,0,0,3011109,17324,10101,,0,6.933333333333334,2516084,10436,484589,3011109,74496,249.09256,145.23689,3.1356544,.59513825,9.5858269,3.5170782,2.6026897,1.3576376,3.8176904,1.9363407,9.4059076,9.8495064,4.9783664,5.5178246,.016426114,.0046610306,-4.1088829,-5.3685188
massachusetts,25,MA,1983,0,0,0,0,2.3789999,44.34,4.4210358,3.0211742,14044,35.313961,11,11,MA,651,491,160,6662,30918,37580,13.06546,4.2575836,0,0,0,0,0,3839707,13207,20589,,0,6.933333333333333,3374962,10865,453880,3839707,112597,163.92064,255.54343,1.486374,1.1056455,9.5499506,3.5642784,2.3978953,.8666802,3.7918873,1.9363407,8.8041754,10.339094,5.5433922,5.0993824,.01306546,.0042575835,-4.3377833,-5.4590535
michigan,26,MI,1983,0,0,0,0,3.5139999,57.608002,12.955674,1.8024914,12332,33.157536,13,13,MI,1314,1034,280,23379,37476,60855,16.991209,4.6011009,0,0,1,0,0,6294849,92274,25193,,0,14.48333333333333,5024521,21135,1249193,6294849,233066,199.44115,54.452187,2.5615339,.58916986,9.4199524,3.5012701,2.5649493,1.256755,4.0536613,2.6729987,10.059593,10.531456,3.997323,5.2955194,.016991209,.0046011009,-4.0750589,-5.3814597
minnesota,27,MN,1983,0,0,0,0,1.0369999,38.432999,1.5717363,.88161051,12696,33.612537,16,16,MN,555,480,75,16183,14880,31063,15.452468,2.414448,0,0,0,0,0,3282157,118521,12954,,0,7.925000000000001,2407373,16914,815053,3239340,171821,185.84013,20.311785,.45218095,-.12600492,9.4490423,3.514899,2.7725887,.036331873,3.6489165,2.0700223,9.6917162,9.6077738,3.0112011,5.2248869,.015452468,.002414448,-4.1699867,-6.0262847
mississippi,28,MS,1983,0,0,0,0,.98800004,29.277,34.531681,.80824929,8744,32.419243,10,9,MS,715,613,102,11421,6381,17802,34.434334,5.7296934,0,0,0,0,0,1560277,64169,6906,,0,11.96666666666667,1189446,7663,363168,1560277,29075,172.2337,18.536146,3.5418773,-.21288474,9.0761232,3.4787521,2.1972246,-.012072545,3.3768022,2.482125,9.3432093,8.7610798,2.9197226,5.1488523,.034434333,.0057296935,-3.3687012,-5.1620932
missouri,29,MO,1983,0,0,0,0,2.0280001,40.527,10.227043,1.0426496,11885,34.878265,7,7,MO,911,782,129,17697,18846,36543,21.399446,3.5300879,0,0,0,0,0,3433042,104170,14543,,0,9.958333333333334,2541403,9673,881966,3433042,94369,174.75095,24.396688,2.3250356,.041765191,9.3830328,3.5518639,1.9459101,.70705014,3.7019684,2.2984097,9.7811508,9.8440561,3.1944475,5.163362,.021399446,.0035300879,-3.8443902,-5.6464324
montana,30,MT,1983,0,0,0,0,.47,44.318001,.24371938,1.2512846,11151,33.11092,17,15,MT,286,255,31,5115,2066,7181,35.510376,4.3169475,0,0,0,0,0,828737,69241,2312,,0,8.741666666666669,486294,1701,340742,828737,33787,210.33478,7.0232086,-1.4117378,.2241707,9.3192844,3.4998631,2.7080503,-.75502259,3.7913909,2.1681008,8.5399323,7.6333694,1.9492202,5.3487005,.035510376,.0043169474,-3.3379304,-5.4452066
nebraska,31,NE,1983,0,0,0,0,.736,35.699001,3.0986338,1.8736653,12022,34.251175,15.5,15.5,NE,255,228,27,7459,4075,11534,19.767643,2.3409052,0,0,0,0,0,1234591,87425,4536,,0,5.566666666666666,815232,4090,415269,1234591,46562,179.72487,9.3249302,1.1309613,.62789661,9.3944941,3.533721,2.74084,-.30652517,3.5751226,1.7167964,8.9171762,8.3126259,2.2326915,5.1914272,.019767644,.0023409051,-3.9237089,-6.0572176
nevada,32,NV,1983,0,0,0,0,3.7129998,60.460999,6.2072291,7.6320543,13892,33.052082,12,12,NV,253,205,48,3151,3721,6872,29.8312,6.9848661,0,0,1,0,0,730451,40803,3003,,0,9.841666666666667,527232,1653,201566,730451,21960,175.56844,12.921403,1.8257146,2.032357,9.5390682,3.4980845,2.4849067,1.3118402,4.1019983,2.2866251,8.0554752,8.2217474,2.5588851,5.1680288,.029831199,.0069848662,-3.5122006,-4.9640093
new hampshire,33,NH,1983,0,0,0,0,.45599997,32.312,.49624342,.7097137,13269,33.917278,14,14,NH,191,160,31,4358,2823,7181,22.281019,4.3169475,0,0,0,0,0,802640,12141,2404,,0,5.5,671966,1487,129187,802640,52871,279.51996,55.34684,-.70068872,-.34289363,9.493186,3.5239246,2.6390574,-.78526253,3.4754386,1.704748,8.3797684,7.9455552,4.0136194,5.6330738,.022281019,.0043169474,-3.8040202,-5.4452066
new jersey,34,NJ,1983,0,0,0,0,3.046,46.103001,12.486824,7.3189588,15190,35.390003,8,8,NJ,932,673,259,9813,42404,52217,12.888523,4.9600706,0,0,1,0,0,4940674,11520,22351,,0,8.191666666666668,4412437,15494,512743,4940674,101439,197.41563,383.02405,2.5246739,1.990468,9.6283922,3.5664294,2.0794415,1.1138293,3.830878,2.1031175,9.1914635,10.654998,5.9480977,5.2853112,.012888523,.0049600708,-4.351418,-5.3063354
new mexico,35,NM,1983,0,0,0,0,1.709,56.594002,1.9268153,36.501915,10819,31.421423,11,11,NM,531,413,118,7087,4591,11678,35.365646,10.10447,0,0,1,0,0,1236542,49676,4451,,0,9.708333333333334,798398,3775,434369,1236542,54776,179.37497,16.072107,.65586853,3.5973647,9.2890587,3.44749,2.3978953,.5359084,4.035903,2.2729845,8.8660173,8.4318533,2.7770853,5.1894784,.035365645,.01010447,-3.3420143,-4.5947776
new york,36,NY,1983,0,0,0,0,5.7759995,49.884998,14.549713,9.8966103,14286,35.15733,10,8,NY,2077,1461,616,25140,58643,83783,17.437904,7.3523269,0,0,0,0,0,8416503,73434,36403,,0,8.883333333333333,7357044,34657,1024802,8416503,200549,202.09993,100.1858,2.6775713,2.2921922,9.5670357,3.559833,2.0794415,1.7537113,3.9097204,2.1841769,10.132215,10.979223,4.6070266,5.3087621,.017437905,.007352327,-4.049109,-4.9127383
north carolina,37,NC,1983,0,0,0,0,1.096,37.741001,21.702003,.96980023,10637,33.648037,12,12,NC,1234,1013,221,25520,19518,45038,22.492117,4.9069676,0,0,0,0,0,4603381,75076,17328,,0,8.883333333333331,3461818,30553,1111010,4603381,116160,199.78174,46.110847,3.0774045,-.030665172,9.2720938,3.5159547,2.4849067,.091667145,3.6307471,2.1841769,10.147218,9.8790922,3.8310483,5.2972255,.022492116,.0049069677,-3.7945905,-5.3170991
north dakota,38,ND,1983,0,0,0,0,.22399999,26.218,.43210223,.60503721,11573,33.151081,13,13,ND,116,105,11,4055,1308,5363,19.578594,2.0510907,0,0,1,0,0,665691,84306,1505,,0,5.874999999999999,390331,1905,273455,665691,32182,259.35614,4.6299314,-.83909309,-.50246531,9.3564301,3.5010753,2.5649493,-1.4961092,3.2664461,1.7707061,8.3077059,7.1762547,1.5325421,5.5582023,.019578595,.0020510908,-3.9333184,-6.1893835
ohio,39,OH,1983,0,0,0,0,1.965,41.071999,9.9647236,1.1198902,12026,33.971191,12,12,OH,1582,1334,248,31989,41225,73214,18.220558,3.3873303,0,0,0,0,0,7768345,82827,29425,,0,12.35,6429344,31167,1307834,7768345,286290,218.49937,77.623772,2.2990513,.11323065,9.3948259,3.5255129,2.4849067,.67549229,3.7153265,2.5136561,10.373147,10.626801,4.3518739,5.3867831,.018220559,.0033873303,-4.0052047,-5.6877131
oklahoma,40,OK,1983,0,0,0,0,1.7410001,45.056999,6.7857289,2.0223708,11876,33.766033,6.5,6.58,OK,848,755,93,15555,14010,29565,25.536953,3.1456113,0,0,0,0,0,2769058,98124,11948,,0,8.108333333333336,1757739,11548,999771,2769058,130515,147.11575,17.913446,1.9148217,.70427048,9.3822746,3.5194554,1.8840348,.55445969,3.8079283,2.0928924,9.6521378,9.5475264,2.8855517,4.9912195,.025536953,.0031456114,-3.6676288,-5.7617469
oregon,41,OR,1983,0,0,0,0,2.1489999,57.630001,1.4419016,2.8090286,12026,34.223469,8,8,OR,550,468,82,11070,8905,19975,23.429287,4.1051316,0,0,1,1,0,2120523,125097,8372,,0,10.83333333333333,1476548,11191,632784,2120523,83710,176.36742,11.803225,.36596277,1.0328387,9.3948259,3.5329115,2.0794415,.76500261,4.0540433,2.3826277,9.3119936,9.094368,2.4683728,5.1725693,.023429288,.0041051316,-3.7537684,-5.4955173
pennsylvania,42,PA,1983,0,0,0,0,1.978,28.525999,8.7396545,1.4328895,12433,35.880653,12,12,PA,1721,1432,289,34048,38254,72302,19.805815,3.9971232,0,0,1,0,0,6844049,87512,28089,,0,11.10833333333333,5738155,27570,1078324,6844049,227928,204.28477,65.569923,2.1678708,.35969302,9.4281092,3.5801983,2.4849067,.68208623,3.350816,2.4076955,10.435527,10.552004,4.1831169,5.3195148,.019805815,.0039971233,-3.9217796,-5.5221806
rhode island,44,RI,1983,0,0,0,0,1.3239999,46.502998,3.4405265,2.7197273,12741,35.856129,13,13,RI,100,73,27,1214,4216,5430,13.44383,4.9723759,0,0,0,0,0,598338,2651,3638,,0,8.458333333333334,518803,1525,78010,598338,26869,142.60666,195.70087,1.2356246,1.0005316,9.4525805,3.5795145,2.5649493,.28065738,3.8395169,2.1351521,7.101676,8.3466425,5.2765875,4.9600902,.01344383,.0049723759,-4.3092351,-5.3038573
south carolina,45,SC,1983,0,0,0,0,1.497,41.541,29.491049,.94846523,10033,32.387028,13,13,SC,844,675,169,16122,8855,24977,27.024862,6.7662249,0,0,0,0,0,2057795,54263,9001,,0,9.891666666666667,1578316,12077,467402,2057795,26284,175.34897,29.086412,3.3840868,-.052910149,9.2136345,3.4777579,2.5649493,.4034631,3.726681,2.2916927,9.6879396,9.0887375,3.3702712,5.1667781,.027024861,.0067662247,-3.6109982,-4.9958119
south dakota,46,SD,1983,0,0,0,0,.34999999,24.275999,.35435581,.56140715,10491,33.939701,13,13,SD,175,154,21,5011,1306,6317,24.37866,3.3243628,0,0,0,0,0,629458,71796,1579,,0,5.208333333333333,390543,2154,236761,629458,39335,247.33566,5.4396205,-1.0374538,-.57730889,9.2582731,3.5245855,2.5649493,-1.0498221,3.1894882,1.6502599,8.5193911,7.1747241,1.6937093,5.5107465,.024378661,.0033243627,-3.7140472,-5.7064772
tennessee,47,TN,1983,0,0,0,0,2.175,36.096001,15.32255,.6853177,10313,34.054279,12,9,TN,1037,924,113,18859,17402,36261,25.481922,3.1162958,0,0,0,0,0,3537012,71851,11938,,0,11.65,2777033,11228,748751,3537012,79965,232.62129,38.649887,2.7293255,-.37787277,9.2411604,3.5279558,2.1972246,.77702862,3.5861821,2.4553063,9.8447456,9.7643404,3.6545439,5.4494119,.025481923,.0031162959,-3.669786,-5.7711101
texas,48,TX,1983,0,0,0,0,2.438,53.950001,11.836575,21.90378,12575,31.767897,6.5,5,TX,3823,3174,649,50113,81770,131883,24.066786,4.9210286,0,0,0,0,0,11695478,212914,62870,,0,8.058333333333332,8159008,51214,3482625,11692847,326293,129.77585,38.320675,2.4711943,3.0866592,9.4394655,3.4584563,1.6094379,.89117801,3.9880576,2.0867066,10.822036,11.311666,3.6459897,4.8658085,.024066785,.0049210284,-3.7269225,-5.3142376
utah,49,UT,1983,0,0,0,0,.92699999,48.619999,.61945564,4.2628188,10116,27.966721,11,11,UT,283,223,60,4339,6882,11221,19.873451,5.3471169,0,0,1,1,0,1074284,40998,5080,,0,9.016666666666666,735930,1139,337215,1074284,67427,144.8681,17.950388,-.4789142,1.4499307,9.2218733,3.3310153,2.3978953,-.07580173,3.8840349,2.1990747,8.3753996,8.8366642,2.8876116,4.9758239,.019873451,.0053471169,-3.9183705,-5.2311978
vermont,50,VT,1983,0,0,0,0,.72199994,40.001999,.25547862,.62432206,11289,33.5341,14,13,VT,94,82,12,3171,980,4151,19.754276,2.8908696,0,0,0,0,0,367355,13092,902,,0,6.541666666666665,282469,1308,83578,367355,22374,313.15854,21.575695,-1.3646165,-.47108892,9.331584,3.5125628,2.5649493,-.3257302,3.6889293,1.8781919,8.0618019,6.8875527,3.0715675,5.7467093,.019754276,.0028908695,-3.9243853,-5.8461981
virginia,51,VA,1983,0,0,0,0,1.4219999,36.689999,18.542109,1.7877712,13341,33.31242,11,11,VA,901,751,150,21592,20707,42299,17.754557,3.5461831,0,0,0,0,0,3894060,52507,12595,,0,6.350000000000001,3256494,13165,624401,3894060,81309,258.5545,62.020187,2.9200442,.58096969,9.4985971,3.5059302,2.3978953,.35206428,3.6025043,1.8484548,9.9800777,9.9382267,4.12746,5.5551066,.017754557,.003546183,-4.0311131,-5.6418834
washington,53,WA,1983,0,0,0,0,1.55,57.060001,2.6794505,3.1741683,13553,33.485718,16,16,WA,698,597,101,16098,20046,36144,16.517263,2.794378,0,0,1,0,0,3338333,70978,14753,,0,11.2,2360117,10072,968144,3338333,139508,159.97539,33.251389,.98561174,1.1550456,9.5143633,3.5111191,2.7725887,.43825489,4.0441031,2.4159138,9.68645,9.9057846,3.5040965,5.0750198,.016517263,.002794378,-4.1033492,-5.8801455
west virginia,54,WV,1983,0,0,0,0,.625,22.472,3.2392633,.58817816,9537,34.638615,15.35,15.35,WV,425,380,45,8435,3261,11696,32.489738,3.8474693,0,0,0,0,0,1295165,31720,2953,,0,17.23333333333333,817538,3424,354444,1175406,32079,276.84998,25.773581,1.1753459,-.53072536,9.1629343,3.5449691,2.7311156,-.47000363,3.1122701,2.8468454,9.0401449,8.0897894,3.2493501,5.6234756,.032489739,.0038474693,-3.426831,-5.5603395
wisconsin,55,WI,1983,0,0,0,0,.92800003,40.647999,4.0788403,1.4519631,12114,34.015766,15,15,WI,725,616,109,18585,15521,34106,18.061338,3.1959186,0,0,0,0,0,3214162,94411,13814,,0,9.766666666666667,2547140,12955,654067,3214162,540506,184.38831,26.979271,1.4058127,.37291649,9.4021168,3.5268242,2.7080503,-.074723512,3.7049496,2.2789752,9.8301105,9.6499491,3.2950687,5.2170439,.018061338,.0031959186,-4.0139818,-5.7458806
wyoming,56,WY,1983,0,0,0,0,.56999999,37.766998,.69738156,5.2309895,12870,30.565798,0,8,WY,173,154,19,3811,1248,5059,30.440798,3.7556829,0,0,0,0,0,502268,36618,1552,,0,7.958333333333332,290428,2317,209523,502268,22758,187.13144,7.9312906,-.36042258,1.6546005,9.4626541,3.4198816,2.0794415,-.56211895,3.6314356,2.0742197,8.2456465,7.1292977,2.0708158,5.231811,.030440798,.0037556828,-3.4919715,-5.5844851
alabama,1,AL,1984,0,0,0,0,1.3060001,34.709,24.829903,.71543807,10848,33.850426,14,13,AL,932,820,112,16509,15745,32254,25.423203,3.4724376,0,0,0,0,0,3202055,73231,14329,,0,11.28333333333333,2266571,8375,927109,3202055,69637,158.18068,30.950977,3.2120488,-.33486024,9.2917356,3.5219517,2.5649493,.26696911,3.546999,2.4233267,9.7116613,9.664278,3.4324045,5.0637379,.025423203,.0034724376,-3.6720929,-5.6628985
alaska,2,AK,1984,0,0,0,0,2.1260002,54.936001,3.7650266,2.6037085,19701,27.783955,8,8,AK,134,108,26,2081,1785,3866,27.93585,6.7252975,0,0,0,0,0,367608,9930,1621,,0,9.891666666666667,227375,1794,138439,367608,9925,140.26836,22.897785,1.3257549,.95693678,9.8884249,3.3244586,2.0794415,.75424236,4.0061688,2.2916927,7.640604,7.4871736,3.1310401,4.9435573,.02793585,.0067252973,-3.5778444,-5.0018792
arizona,4,AZ,1984,0,0,0,0,1.8200001,59.833,2.8701277,16.475452,13060,33.678028,13,13,AZ,869,666,203,10530,10134,20664,32.229965,9.8238478,0,0,0,0,0,2110879,67313,8824,,0,4.958333333333333,1504204,4044,602631,2110879,82511,170.46736,22.346411,1.0543566,2.8018715,9.4773092,3.5168457,2.5649493,.59883654,4.0915575,1.6010697,9.2619839,9.2236509,3.1066656,5.1385441,.032229964,.0098238476,-3.4348588,-4.6229424
arkansas,5,AR,1984,0,0,0,0,1.048,30.461,15.784128,.76657909,10543,34.982548,10.5,9.5,AR,525,455,70,10870,5685,16555,27.484144,4.2283297,0,0,1,0,0,1503062,69467,7578,,0,8.533333333333333,860732,4734,451149,1316615,28161,113.583,12.390516,2.7590048,-.2658174,9.263217,3.5548494,2.2512918,.046883564,3.4164472,2.14398,9.2937622,8.645586,2.5169313,4.7325339,.027484145,.0042283298,-3.594146,-5.4659481
california,6,CA,1984,0,0,0,0,3.8379998,57.049999,7.5334897,21.118437,15895,33.210739,9,9,CA,5020,4088,932,44040,151976,196016,20.85544,4.754714,0,0,1,0,0,17965003,108106,64899,,0,7.758333333333333,14095912,33804,3835287,17965003,704986,217.19768,130.38972,2.0193584,3.0501463,9.6737595,3.5028732,2.1972246,1.3449514,4.0439281,2.0487676,10.692854,11.931478,4.8705277,5.3808079,.02085544,.0047547142,-3.8701406,-5.3486185
